,,,rmse,rmse,rmse,rmse,rmse,mae,mae,max_error,max_error,computation_time,computation_time
GPR,0,0.001,0.033051,0.025803,0.001971,0.065949,6,0.024859,0.018511,0.073602,0.059734,0.007702,0.008009
GPR,0,0.005,0.036887,0.023575,0.007363,0.071957,6,0.028022,0.016537,0.087221,0.056826,0.006299,0.005184
GPR,0,0.01,0.043148,0.02386,0.013878,0.083351,6,0.033408,0.017563,0.107118,0.057219,0.009071,0.010565
GPR,0,0.05,0.117222,0.058082,0.054456,0.209824,6,0.093658,0.047195,0.281716,0.130461,0.008508,0.005906
GPR,1,0.0001,1.698872,2.252178,0.037295,5.337696,6,1.277124,1.786688,4.56046,5.148393,2.410901,5.875311
GPR,1,0.001,1.704807,2.24714,0.043867,5.337696,6,1.283223,1.781725,4.586317,5.123813,0.007702,0.008009
GPR,1,0.005,1.725417,2.230084,0.090567,5.337696,6,1.305143,1.76446,4.549987,5.156943,0.006299,0.005184
GPR,1,0.01,1.752395,2.208428,0.145242,5.337696,6,1.328939,1.746277,4.616664,5.091448,0.009071,0.010565
GPR,1,0.05,1.962489,2.052343,0.389859,5.337696,6,1.512046,1.616039,5.024432,4.740067,0.008508,0.005906
GPR,2,0.0001,72.908223,110.745208,0.700999,252.477566,6,63.324503,97.218926,137.858503,198.886745,2.410901,5.875311
GPR,2,0.001,71.268128,107.676115,0.76681,244.7289,6,61.881215,94.569738,135.265722,192.935757,0.007702,0.008009
GPR,2,0.005,72.607767,109.945439,1.202556,252.497438,6,63.127945,96.494984,137.539158,197.767205,0.006299,0.005184
GPR,2,0.01,76.372602,116.170585,1.70364,269.365387,6,66.441128,101.904086,144.260312,210.704649,0.009071,0.010565
GPR,2,0.05,79.163794,117.768329,3.590522,275.271118,6,68.823208,103.333649,153.120062,219.556016,0.008508,0.005906
GPR,3,0.0001,46.367194,35.023092,7.440214,94.583987,6,26.046785,18.074173,173.361697,116.918302,2.410901,5.875311
GPR,3,0.001,47.587623,33.660311,8.684318,94.583987,6,26.902324,17.022889,178.727966,113.644328,0.007702,0.008009
GPR,3,0.005,49.896559,31.125311,14.233254,94.583987,6,29.209137,14.389854,183.739777,110.050261,0.006299,0.005184
GPR,3,0.01,51.67126,29.24627,19.575996,94.583987,6,30.792235,12.695463,186.610717,105.491899,0.009071,0.010565
GPR,3,0.05,60.545699,22.004809,36.271318,94.583987,6,38.549991,6.845663,195.427972,93.864999,0.008508,0.005906
LOESS,0,0.0001,0.394291,0.323337,0.000158,0.714122,6,0.290978,0.242563,1.026139,0.833464,0.018142,0.016583
LOESS,0,0.001,0.395003,0.322302,0.00158,0.714028,6,0.291594,0.241803,1.027827,0.830873,0.016024,0.02107
LOESS,0,0.005,0.398194,0.317742,0.007899,0.713654,6,0.294372,0.238484,1.035328,0.819403,0.011256,0.01309
LOESS,0,0.01,0.402237,0.312127,0.015798,0.713288,6,0.297903,0.234433,1.044704,0.805173,0.010503,0.010785
LOESS,0,0.05,0.436698,0.270969,0.078988,0.719963,6,0.329493,0.207316,1.121635,0.69759,0.015126,0.019223
LOESS,1,0.0001,4.265971,1.581807,2.488091,6.9053,6,2.253377,0.524566,17.752582,9.108703,0.018142,0.016583
LOESS,1,0.001,4.233613,1.458844,2.494524,6.864132,6,2.25325,0.486164,18.361797,6.713629,0.016024,0.02107
LOESS,1,0.005,7.318802,3.742841,2.319602,12.702937,6,2.70694,0.924585,48.101351,36.172686,0.011256,0.01309
LOESS,1,0.01,3.922447,1.431707,2.258577,6.512074,6,2.161257,0.406169,15.274721,7.874019,0.010503,0.010785
LOESS,1,0.05,6.647804,3.729009,2.288391,11.940524,6,2.748511,0.716017,40.860476,39.535874,0.015126,0.019223
LOESS,2,0.0001,322.750854,389.838025,25.242326,999.647287,6,66.456285,74.978438,2446.520272,2992.844353,0.018142,0.016583
LOESS,2,0.001,598.304857,571.514222,25.569535,1509.956308,6,92.583616,67.252724,5372.86965,5955.735491,0.016024,0.02107
LOESS,2,0.005,6082.729509,8894.552236,24.857091,19424.844936,6,742.147914,1038.89185,52865.946674,81965.920707,0.011256,0.01309
LOESS,2,0.01,141.63113,191.176154,24.116778,519.321214,6,37.775287,37.229661,952.3734,1366.006721,0.010503,0.010785
LOESS,2,0.05,16859.535031,35555.301804,21.436681,88823.320717,6,1789.427584,3540.117936,163275.985408,358844.759367,0.015126,0.019223
LOESS,3,0.0001,150014.130932,205493.550825,200.489674,431396.967816,6,20637.981588,27389.745684,1274058.986269,1846815.98932,0.018142,0.016583
LOESS,3,0.001,544296.179623,750506.562373,198.271574,1777011.717772,6,58844.456359,74121.93205,5310821.631783,7643883.666903,0.016024,0.02107
LOESS,3,0.005,15025710.601638,25001333.891296,189.737276,60065029.058783,6,1699722.315075,2665880.022529,136460319.375258,243778783.747448,0.011256,0.01309
LOESS,3,0.01,37333.779177,69026.292441,181.616501,177057.500747,6,6147.163009,10543.044956,269604.198921,490945.045247,0.010503,0.010785
LOESS,3,0.05,203699205.093104,490253096.141063,167.821644,1204319221.150472,6,20394519.890258,48735704.80152,2038474452.343713,4930977629.71344,0.015126,0.019223
